#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-10-20T23:47:44 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-10-20T23:47:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/152/50/table3&-order=I&LEDA=LEDA&-out=Dist&-out=e_DM&-out=HV&2M=2M&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_50_table3:
#Name: J/AJ/152/50/table3
#Title: Individual galaxy properties
#Column	Dist	(F6.2)	[0.05/517.7] Luminosity distance measurement for the individual galaxy (d) (1)	[ucd=pos.distance;pos.heliocentric]
#Column	e_DM	(F5.2)	[0.1/0.6] One standard deviation uncertainty in DM ({epsilon}_{mu}_) (2)	[ucd=stat.error]
#Column	HV	(I5)	[-376/34770] Heliocentric Velocity (V_h_)	[ucd=spect.dopplerVeloc;pos.heliocentric]
Dist	e_DM	HV
221.82	 0.50	11950
 18.37	 0.54	 1144
 96.38	 0.40	 7624
134.28	 0.40	 8952
 67.61	 0.40	 5734
  0.74	 0.12	 -345
123.59	 0.50	 9996
 56.49	 0.54	 5138
 75.16	 0.50	 6246
 48.98	 0.46	 5905
 83.56	 0.46	 5486
 76.21	 0.46	 5736
 70.15	 0.40	 5740
 83.18	 0.46	 6227
 56.75	 0.40	 5290
 56.23	 0.46	 6194
 89.13	 0.40	 5813
106.66	 0.40	 6634
 95.94	 0.40	 7029
 63.39	 0.46	 5749
 71.45	 0.40	 4493
 59.70	 0.40	 5384
 91.20	 0.40	 7090
 66.68	 0.50	 5692
113.24	 0.40	 7551
110.66	 0.40	12533
 86.30	 0.50	 6520
211.84	 0.40	12187
108.14	 0.40	 7372
 87.90	 0.40	 5258
127.06	 0.50	10232
 64.57	 0.40	 5331
 85.51	 0.40	 5708
110.66	 0.40	 7376
 18.54	 0.30	  843
 94.19	 0.50	 7271
270.40	 0.50	16302
100.00	 0.50	 7335
 54.95	 0.50	 6084
 58.61	 0.40	 4668
 70.15	 0.40	 6801
 95.94	 0.40	 8674
 90.36	 0.40	 8946
 66.07	 0.17	 5185
110.66	 0.40	 8025
 55.46	 0.40	 4550
 70.15	 0.40	 5329
 56.23	 0.50	 5227
156.31	 0.40	11188
  2.00	 0.16	  113
 28.84	 0.30	 1831
 86.70	 0.40	 6294
 47.21	 0.50	 4353
 51.52	 0.30	 5173
 58.88	 0.50	 4149
 28.58	 0.30	 2134
 51.52	 0.50	 3986
 59.43	 0.30	 3917
 26.18	 0.40	 1385
 44.87	 0.40	 4066
 42.27	 0.40	 4404
 84.33	 0.40	 6277
143.88	 0.50	 9479
130.62	 0.40	 9593
 63.97	 0.40	 4290
 76.56	 0.40	 4744
 96.38	 0.50	 7778
 76.21	 0.40	 6095
100.46	 0.50	 6177
107.15	 0.50	 6243
  6.82	 0.20	  188
 12.76	 0.40	  766
 97.72	 0.40	 6350
 44.67	 0.40	 5210
154.88	 0.50	16199
 13.24	 0.54	 1416
 37.15	 0.40	 4150
 47.21	 0.50	 3439
121.90	 0.40	 6315
 19.23	 0.30	 1583
173.78	 0.50	 9930
104.71	 0.40	 7273
150.66	 0.50	10829
 95.06	 0.40	 6119
 78.70	 0.50	 7303
130.62	 0.40	 8052
 50.35	 0.40	 4653
 54.45	 0.30	 4371
 15.28	 0.54	 2084
 97.72	 0.40	 7095
 42.27	 0.40	 4268
 47.42	 0.40	 3555
179.47	 0.40	11449
 76.56	 0.40	 6356
111.69	 0.40	 7807
106.66	 0.50	 9837
 39.99	 0.30	 2394
 58.88	 0.40	 4673
 36.48	 0.30	 2929
 59.98	 0.40	 4044
122.46	 0.50	10397
 86.70	 0.40	 6118
 59.43	 0.40	 4934
 64.57	 0.40	 6060
 80.91	 0.40	 6177
 79.43	 0.40	 5399
  0.73	 0.14	 -193
191.43	 0.50	12293
 53.21	 0.40	 4390
 79.43	 0.40	 5181
 59.98	 0.40	 3740
 23.77	 0.30	 1580
 91.20	 0.50	 8028
 98.63	 0.40	 9401
 18.03	 0.30	 1530
 12.08	 0.40	 1651
 52.97	 0.40	 4177
 89.13	 0.40	 5781
 77.27	 0.40	 5908
113.76	 0.54	 5103
 87.10	 0.50	 7596
 83.18	 0.50	 7242
  0.73	 0.16	 -345
 65.77	 0.50	 6014
 55.46	 0.40	 5041
 93.33	 0.40	 5330
 74.47	 0.40	 5165
 79.07	 0.40	 5067
101.39	 0.50	10122
 33.42	 0.40	 4933
 82.79	 0.40	 5270
116.95	 0.40	 9284
 38.37	 0.40	 4927
 98.63	 0.50	 6707
125.31	 0.40	 8937
 71.78	 0.40	 7188
 97.72	 0.40	 4617
 47.86	 0.40	 3546
179.47	 0.50	16016
 46.34	 0.40	 3047
 74.13	 0.40	 5293
 54.20	 0.50	 3883
237.68	 0.50	15993
 84.33	 0.50	 6010
 60.81	 0.40	 5226
 74.82	 0.40	 4834
 60.81	 0.40	 5302
131.22	 0.40	 8391
 38.73	 0.40	 5379
 72.11	 0.40	 5653
 82.04	 0.40	 5427
125.31	 0.40	 5460
 87.10	 0.40	 7247
133.66	 0.50	12176
  0.63	 0.14	 -203
 82.04	 0.17	 6130
 42.07	 0.40	 5255
133.66	 0.50	12372
 96.83	 0.40	 6882
144.54	 0.46	11157
 90.78	 0.40	 6445
 69.18	 0.40	 5156
 69.50	 0.40	 4438
169.04	 0.46	11964
124.74	 0.50	 8254
  0.81	 0.16	 -241
150.66	 0.46	11329
133.66	 0.50	12184
 19.32	 0.30	 1638
104.71	 0.40	 7408
244.34	 0.50	13755
 18.97	 0.30	 1712
 96.83	 0.35	 8221
 66.68	 0.40	 8457
 76.56	 0.40	 4654
171.40	 0.50	16408
 59.43	 0.30	 4555
 57.02	 0.40	 3978
 69.82	 0.50	 5989
 25.47	 0.54	 1552
201.37	 0.17	16699
 59.70	 0.50	 5509
 80.17	 0.40	 4944
175.39	 0.50	15857
160.69	 0.40	10644
 52.72	 0.40	 6241
 76.21	 0.50	 5953
 26.42	 0.30	 1554
 97.72	 0.40	 5375
128.82	 0.50	 8681
  7.18	 0.20	  237
 64.57	 0.50	 5427
 69.50	 0.40	 4861
  0.78	 0.16	 -196
  0.77	 0.12	 -290
101.86	 0.50	 5811
 84.33	 0.17	 6684
222.84	 0.50	10997
 76.91	 0.40	 6244
  4.92	 0.20	  360
149.97	 0.50	11153
 56.49	 0.40	 4169
 45.29	 0.50	 5803
 68.23	 0.50	 5750
 85.11	 0.40	 6766
 53.21	 0.40	 5486
 85.11	 0.40	 6824
 87.10	 0.50	10497
195.88	 0.50	11141
185.35	 0.50	16279
207.97	 0.50	15300
 63.39	 0.40	 6114
205.12	 0.50	 7796
159.96	 0.50	 8498
  0.75	 0.16	 -376
 74.13	 0.40	 5812
 95.06	 0.40	 7221
 36.31	 0.30	 2650
168.27	 0.40	10579
 61.38	 0.40	 5273
157.76	 0.17	11148
 63.68	 0.40	 7027
 82.04	 0.50	 5791
 77.27	 0.40	 4952
 62.23	 0.40	 4875
 92.04	 0.40	 6428
 59.43	 0.30	 5248
  3.52	 0.12	  156
115.35	 0.50	 7140
 47.21	 0.40	 5278
173.78	 0.40	11796
143.22	 0.40	 9436
 76.21	 0.40	 5085
 93.33	 0.40	11564
 85.11	 0.40	 5763
  3.56	 0.16	  242
 71.12	 0.31	 5772
 16.98	 0.30	 1342
 56.23	 0.40	 4565
 67.30	 0.40	 5283
 66.07	 0.17	 4938
 45.08	 0.40	 4045
 57.54	 0.50	 5615
 72.78	 0.30	 5103
  3.48	 0.16	  224
 80.91	 0.40	 5282
 69.18	 0.30	 5157
  3.39	 0.16	  294
 69.82	 0.40	 4626
 54.20	 0.40	 4542
164.44	 0.50	15992
 76.21	 0.40	 5406
 73.11	 0.30	 4602
112.72	 0.40	 7014
  3.60	 0.16	  228
 76.91	 0.50	 5731
 39.99	 0.50	 3779
134.28	 0.40	 6933
 94.62	 0.50	 7804
 58.88	 0.50	 4749
 69.82	 0.40	 5516
 40.93	 0.54	 4973
257.04	 0.40	18654
102.80	 0.50	 7020
 21.28	 0.24	 1721
 40.93	 0.45	 4910
 30.48	 0.54	 1412
211.84	 0.40	17375
 69.82	 0.40	 5500
155.60	 0.40	10177
 71.12	 0.30	 4862
  0.06	 0.12	  162
 23.33	 0.30	 1628
218.78	 0.40	17277
 56.75	 0.40	 4993
 90.78	 0.40	 7305
152.05	 0.40	10756
 53.21	 0.30	 4516
257.04	 0.40	18173
101.86	 0.50	10865
 67.30	 0.40	 5976
 84.72	 0.40	 4906
143.22	 0.50	11253
 63.39	 0.40	 5563
100.93	 0.40	 7325
 76.56	 0.40	 5381
 87.50	 0.40	 8274
199.53	 0.40	17370
 42.07	 0.54	 4706
 82.41	 0.30	 6783
167.49	 0.40	10623
147.23	 0.50	13117
162.93	 0.50	11788
103.75	 0.40	 7300
116.95	 0.50	13586
 72.78	 0.30	 6061
 74.82	 0.30	 4513
 96.83	 0.30	 4633
  1.99	 0.12	  165
 67.92	 0.40	 5164
230.14	 0.50	15210
 32.66	 0.45	 4690
 30.90	 0.54	 1754
 85.51	 0.40	 6369
 55.21	 0.30	 5464
163.68	 0.50	13223
152.76	 0.50	13469
174.58	 0.40	14304
 51.05	 0.30	 5645
 87.10	 0.30	 6678
149.97	 0.50	11462
 68.87	 0.30	 4658
119.12	 0.50	 8492
213.80	 0.50	12546
152.05	 0.50	13343
 84.72	 0.50	 8094
193.20	 0.50	13200
150.66	 0.50	11479
 43.05	 0.50	 4007
 86.30	 0.50	 7440
194.09	 0.40	11681
154.17	 0.50	14987
 85.11	 0.40	 7911
248.89	 0.40	14889
 63.39	 0.50	 7143
152.76	 0.50	13572
 48.08	 0.40	 5661
 69.18	 0.50	 7447
 57.54	 0.40	 5464
169.82	 0.19	13523
103.75	 0.40	 5489
 80.91	 0.40	 5482
 61.66	 0.30	 4722
 86.30	 0.31	 5269
 44.46	 0.50	 4599
132.43	 0.50	13073
 88.72	 0.50	 5560
136.14	 0.50	14157
138.04	 0.40	10378
120.23	 0.40	 5220
175.39	 0.17	11660
107.15	 0.50	12073
104.23	 0.40	 9212
163.68	 0.50	10969
195.88	 0.50	16205
 28.97	 0.30	 2000
 40.74	 0.54	 1958
 58.61	 0.50	 5701
135.52	 0.50	13738
 82.04	 0.50	 5483
 44.46	 0.40	 3474
 34.83	 0.40	 2357
 89.13	 0.50	 6871
107.15	 0.50	12091
 79.80	 0.40	 5526
 77.98	 0.50	 6984
192.31	 0.40	12223
 19.23	 0.30	 1649
215.77	 0.50	15876
 90.36	 0.50	 5411
124.17	 0.40	 6273
  0.08	 0.16	  109
 38.55	 0.30	 2717
 83.95	 0.30	 4827
 78.34	 0.30	 4797
 95.94	 0.50	 5817
 31.05	 0.30	 2619
196.79	 0.40	11788
 85.90	 0.54	 5446
 91.62	 0.40	 6044
 95.94	 0.50	 8668
 87.90	 0.30	 5596
 26.06	 0.30	 2214
116.95	 0.40	 8431
 66.07	 0.50	 5632
 59.70	 0.40	 4372
136.14	 0.50	14453
 84.33	 0.50	 4281
 54.95	 0.40	 4101
 78.34	 0.40	 5775
 80.17	 0.40	 5877
 30.90	 0.30	 2310
142.56	 0.50	12670
 92.47	 0.40	 7124
143.88	 0.40	12297
 59.98	 0.15	 5298
105.68	 0.40	 5695
  0.65	 0.12	 -285
184.50	 0.50	14535
210.86	 0.40	15761
100.93	 0.40	 7673
108.64	 0.40	 9955
 83.95	 0.40	 7402
112.20	 0.50	 5127
  0.74	 0.10	 -236
105.68	 0.50	 8967
 11.64	 0.30	 1095
 31.77	 0.54	 2423
107.65	 0.40	 8863
112.72	 0.50	14080
 50.82	 0.30	 5859
 57.28	 0.46	 5039
120.78	 0.40	 5790
166.72	 0.40	12107
127.06	 0.50	14148
 44.26	 0.46	 4707
 92.04	 0.30	 6272
107.65	 0.40	 9124
120.78	 0.50	11226
218.78	 0.40	14852
 62.81	 0.50	 5501
105.68	 0.50	11565
 54.70	 0.30	 5125
149.28	 0.50	16256
 89.13	 0.46	 5898
 95.06	 0.40	 8017
102.33	 0.50	 6946
 67.61	 0.46	 5486
 74.82	 0.50	 4423
  4.70	 0.16	  156
123.03	 0.50	16121
 21.78	 0.30	 1508
 65.77	 0.15	 5223
 63.39	 0.46	 5057
 85.90	 0.46	 4248
 64.27	 0.46	 4991
 75.16	 0.50	 7565
 59.98	 0.50	 5517
 74.47	 0.40	 5867
192.31	 0.40	10111
172.98	 0.50	12831
 62.81	 0.46	 5433
151.36	 0.40	10063
 70.47	 0.46	 4754
173.78	 0.50	13526
145.21	 0.50	12231
173.78	 0.50	13128
 69.18	 0.46	 4678
110.66	 0.40	 8048
 67.30	 0.46	 4392
 62.81	 0.46	 4967
173.78	 0.50	13134
 21.09	 0.30	 1964
154.17	 0.50	13377
141.91	 0.50	12606
 93.33	 0.50	 7314
 43.65	 0.46	 4981
123.03	 0.40	 9347
 82.04	 0.50	 7803
 54.95	 0.30	 4638
 71.45	 0.46	 5172
134.28	 0.40	11539
172.98	 0.50	12511
  2.99	 0.14	  -47
 79.07	 0.50	 3957
 99.08	 0.40	 7627
 87.90	 0.50	 6558
 74.82	 0.50	 7884
 29.65	 0.54	 1865
 56.49	 0.40	 5092
 92.90	 0.50	 7265
 87.90	 0.40	 6495
289.73	 0.50	14632
 52.48	 0.40	 5025
 58.08	 0.40	 3557
 96.83	 0.40	 6821
115.35	 0.50	 6782
105.68	 0.50	 7406
115.35	 0.50	 9117
178.65	 0.50	13560
 67.61	 0.40	 4686
 56.75	 0.30	 5461
221.82	 0.50	15713
 66.68	 0.40	 5754
 65.46	 0.46	 5276
106.66	 0.40	11439
155.60	 0.50	12688
 72.11	 0.40	 4824
 68.87	 0.50	 8371
275.42	 0.50	12573
 51.05	 0.30	 3515
 65.16	 0.54	 4854
 74.13	 0.40	 5340
 49.66	 0.46	 4836
118.03	 0.50	 9841
 51.29	 0.46	 5004
 73.79	 0.40	 5234
 92.04	 0.40	 7362
 58.34	 0.46	 4784
116.41	 0.50	13574
 64.86	 0.40	 5815
 94.62	 0.50	 7941
 74.13	 0.50	 5267
 72.44	 0.40	 5584
 11.32	 0.40	 1155
 81.28	 0.50	 5633
133.66	 0.50	13161
 73.79	 0.35	 5272
196.79	 0.50	15093
157.04	 0.40	10278
 85.11	 0.30	 4739
134.90	 0.50	14086
158.49	 0.40	11554
 54.45	 0.46	 5533
176.20	 0.40	13295
 79.80	 0.50	 5753
 59.70	 0.50	 5802
 61.66	 0.40	 5016
 48.31	 0.40	 3577
 85.11	 0.40	 4902
132.43	 0.50	11309
 87.10	 0.40	 5909
 99.54	 0.40	 5554
 77.62	 0.50	 5610
145.88	 0.40	12436
201.37	 0.50	13291
201.37	 0.50	13454
 55.21	 0.40	 5318
 80.91	 0.40	 5530
 43.45	 0.40	 4438
201.37	 0.50	13542
 29.92	 0.24	 1927
201.37	 0.50	13485
188.80	 0.40	12031
 83.95	 0.40	 5523
 17.46	 0.30	 1762
 33.57	 0.40	 3702
 82.79	 0.50	 6263
 47.86	 0.30	 4851
 67.92	 0.30	 4210
 69.82	 0.40	 5454
100.93	 0.50	10594
 29.11	 0.40	 2420
126.47	 0.50	13387
 57.81	 0.30	 4964
  0.65	 0.16	 -194
 74.82	 0.50	 5556
 94.62	 0.40	 9045
 88.31	 0.40	 6156
235.50	 0.50	14560
 95.50	 0.50	 6796
 75.86	 0.40	 4908
 72.44	 0.40	 5685
157.04	 0.50	13431
 80.54	 0.54	 5340
 70.15	 0.40	 5193
113.76	 0.40	 6840
154.88	 0.50	13578
208.93	 0.50	13443
 79.80	 0.40	 5249
 63.97	 0.30	 5600
163.68	 0.50	12482
 39.99	 0.30	 2375
 42.07	 0.40	 3586
 29.51	 0.28	 2325
 23.77	 0.30	 1739
 70.47	 0.46	 5090
134.28	 0.20	10198
 26.92	 0.54	 2332
101.86	 0.40	 9647
233.35	 0.50	14807
 74.13	 0.40	 5351
123.59	 0.40	 9556
 55.98	 0.46	 5210
101.39	 0.40	 5931
 52.72	 0.40	 4978
 65.16	 0.40	 5129
125.89	 0.40	 8566
 48.98	 0.50	 5532
100.46	 0.50	 5924
 72.11	 0.31	 5911
 14.00	 0.54	  643
 86.30	 0.16	 5861
 44.46	 0.40	 3802
 31.77	 0.30	 2290
121.90	 0.40	 8320
 44.46	 0.30	 2551
116.41	 0.40	 7175
 57.81	 0.46	 4438
 42.46	 0.30	 2514
178.65	 0.40	10073
126.47	 0.50	 7929
 83.18	 0.40	 5096
 78.34	 0.17	 5677
122.46	 0.50	 9204
 22.28	 0.30	 2342
 87.90	 0.50	12816
 44.06	 0.40	 4203
100.46	 0.26	 8142
 73.11	 0.50	 5278
 78.70	 0.50	 7692
 54.45	 0.50	 5636
113.76	 0.50	 6997
 66.37	 0.17	 4104
178.65	 0.50	14879
 92.47	 0.50	 9570
108.14	 0.50	 8269
 54.45	 0.46	 4360
 53.95	 0.30	 6015
 85.51	 0.40	 9335
 33.88	 0.40	 1995
111.69	 0.40	 7767
 19.68	 0.40	 2696
126.47	 0.50	10263
 80.54	 0.46	 5010
 64.86	 0.50	 4240
 75.86	 0.40	 5381
118.58	 0.40	 6980
 82.04	 0.35	 5602
 64.57	 0.46	 4934
 82.41	 0.50	 5494
 95.94	 0.50	 5815
193.20	 0.50	13206
 89.54	 0.30	 4859
 25.35	 0.30	 2472
 58.34	 0.50	 5148
 35.81	 0.30	 2422
153.46	 0.40	10320
 66.99	 0.50	 5282
 74.82	 0.40	 5048
 72.11	 0.50	 5440
 73.45	 0.50	 5857
107.65	 0.40	 9264
114.82	 0.46	 9552
 32.96	 0.30	 2446
 51.76	 0.30	 2740
161.44	 0.50	15278
161.44	 0.50	15508
 62.52	 0.50	 4201
 75.86	 0.50	 5830
 35.65	 0.30	 2720
 52.48	 0.50	 4885
 23.99	 0.28	 2423
160.69	 0.40	10561
 65.46	 0.34	 5857
127.06	 0.50	 9195
160.69	 0.50	14821
107.15	 0.31	10565
 81.66	 0.40	 6502
 55.46	 0.40	 4890
186.21	 0.50	15029
 32.21	 0.30	 2370
 59.43	 0.17	 4755
147.91	 0.40	11092
 40.55	 0.40	 2790
 82.41	 0.40	 6179
 52.72	 0.50	 5521
 56.23	 0.30	 4669
 68.87	 0.50	 6105
 52.48	 0.46	 6591
 72.44	 0.46	 4751
 52.48	 0.46	 4795
225.94	 0.50	12535
 66.37	 0.46	 5384
 60.26	 0.50	 5164
 62.52	 0.46	 5251
 99.54	 0.46	 5235
 63.97	 0.50	 5536
 66.99	 0.50	 5339
 72.44	 0.50	 5527
 84.72	 0.46	 5418
 24.77	 0.54	 1994
210.86	 0.50	14211
 23.55	 0.30	 1959
 64.57	 0.30	 5183
 62.52	 0.50	 5551
126.47	 0.50	 9371
 20.89	 0.30	 1604
 65.16	 0.50	 5789
 48.53	 0.54	 2589
141.91	 0.50	14904
 63.10	 0.40	 5911
 87.50	 0.40	 4140
103.28	 0.50	 6996
 72.78	 0.40	 6029
187.07	 0.50	13972
 84.33	 0.40	 6445
124.74	 0.50	10065
 67.30	 0.50	 5564
143.22	 0.40	 9441
 79.80	 0.34	 4756
 74.13	 0.50	 4949
 49.66	 0.34	 5450
 44.06	 0.46	 4448
244.34	 0.50	14397
173.78	 0.50	14956
 54.45	 0.30	 4058
187.93	 0.50	14110
 57.54	 0.40	 5465
 62.52	 0.30	 5188
 76.56	 0.34	 5832
152.76	 0.50	13908
 82.41	 0.50	 5678
 72.44	 0.40	 6407
 73.11	 0.34	 5700
 49.20	 0.50	 4528
 67.92	 0.50	 4808
110.15	 0.50	12751
 72.11	 0.54	 2660
149.28	 0.50	10104
 83.18	 0.40	 6344
 83.18	 0.40	 4771
 57.54	 0.50	 5542
 52.97	 0.50	 5477
 66.37	 0.40	 5720
131.22	 0.40	 6606
 56.75	 0.40	 5797
 64.27	 0.30	 5073
 80.17	 0.50	 5209
 73.11	 0.16	 5897
 83.56	 0.40	 6336
 54.95	 0.40	 5222
 20.99	 0.40	 2810
107.15	 0.40	 6728
187.93	 0.40	12921
